Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;ITAU UNIBANCO S.A.;LF002400IF2;157;82500,66524;12952604,44;-;Registro;18:44:36;13/08/2026;#2026081347960523;-;13/08/2026;Confirmado
LF;BANCO GM S.A;LF002500DY7;108;59473,19749;6423105,33;-;Registro;16:58:32;13/08/2026;#2026081347578758;BRBCGMLFI9W7;13/08/2026;Confirmado
LF;BANCO SAFRA S/A;LF0021006L5;4;81998,8;327995,2;-;Registro;18:35:58;13/08/2026;#2026081347932196;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC26004BL;17;311913,7858;5302534,36;-;Registro;13:34:12;13/08/2026;#2026081346789030;BRITUBLFI282;13/08/2026;Confirmado
LF;BANCO RCI BRASIL S.A.;LF002500B74;7;60723,31832;425063,23;-;Registro;16:10:09;13/08/2026;#2026081347371070;BRCAMRLFI3G1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;4;343777,881;1375111,52;-;Registro;10:05:34;13/08/2026;#2026081345566805;BRITUBLFI258;13/08/2026;Confirmado
LF;BANCO RCI BRASIL S.A.;LF002500B74;15;60723,31832;910849,77;-;Registro;16:10:10;13/08/2026;#2026081347371153;BRCAMRLFI3G1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;13;343777,881;4469112,45;-;Registro;10:05:35;13/08/2026;#2026081345566881;BRITUBLFI258;13/08/2026;Confirmado
LF;BANCO DAYCOVAL S/A;LF002600LTF;9;50423,08367;453807,75;-;Registro;12:08:03;13/08/2026;#2026081346371049;BRDAYCLTFCI6;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF0025008HL;293;60893,65784;17841841,75;-;Registro;16:58:30;13/08/2026;#2026081347578546;BRMCSFLFI0Z1;13/08/2026;Confirmado
LF;BANCO SAFRA S/A;LF002100ELL;1;82372,76;82372,76;-;Registro;18:35:58;13/08/2026;#2026081347932198;-;13/08/2026;Confirmado
